time;xpos;zpos
0;-7,61;0
0;-7,61;0
0,02;-7,61;0
0,03602339;-7,61;0
0,0505389;-7,61;0
0,06586172;-7,61;0
0,08066791;-7,61;0
0,09524151;-7,61;0
0,1099071;-7,61;0
0,1243965;-7,61;0
0,1385513;-7,61;0
0,153187;-7,61;0
0,1674225;-7,61;0
0,1816598;-7,61;0
0,1957181;-7,61;0
0,2103181;-7,61;0
0,2241354;-7,61;0
0,2380106;-7,61;0
0,2524005;-7,61;0
0,2663175;-7,61;0
0,2801942;-7,61;0
0,2938983;-7,61;0
0,3082802;-7,61;0
0,3224896;-7,61;0
0,336048;-7,61;0
0,3498811;-7,61;0
0,3636858;-7,61;0
0,3773757;-7,61;0
0,3912653;-7,61;0
0,4050158;-7,61;0
0,4185185;-7,61;0
0,4326283;-7,61;0
0,4465146;-7,61;0
0,4603514;-7,61;0
0,4738732;-7,61;0
0,4881758;-7,61;0
0,5017208;-7,61;0
0,5154513;-7,61;0
0,5294724;-7,61;0
0,543391;-7,61;0
0,5568401;-7,61;0
0,571125;-7,61;0
0,5848564;-7,61;0
0,5984531;-7,61;0
0,6125767;-7,61;0
0,6264018;-7,61;0
0,6403584;-7,61;0
0,6536745;-7,61;0
0,6681027;-7,61;0
0,6817316;-7,61;0
0,6951988;-7,61;0
0,7092811;-7,61;0
0,7234142;-7,61;0
0,7370249;-7,61;0
0,7507728;-7,61;0
0,7646167;-7,61;0
0,7784023;-7,61;0
0,7925546;-7,61;0
0,8063735;-7,61;0
0,8199429;-7,61;0
0,8333434;-7,61;0
0,8475343;-7,61;0
0,8614424;-7,61;0
0,8751199;-7,61;0
0,8893551;-7,61;0
0,9031212;-7,61;0
0,9166329;-7,61;0
0,9306194;-7,609569;-0,0005328084
0,9447749;-7,603849;-0,008320066
0,9585783;-7,595052;-0,02052534
1,01435;-7,552415;-0,09250239
1,01796;-7,549826;-0,09725807
1,03791;-7,537411;-0,1244864
1,051605;-7,529569;-0,1434733
1,065562;-7,522161;-0,1630543
1,079485;-7,515414;-0,1828191
1,093412;-7,509239;-0,2027755
1,107391;-7,503619;-0,2229767
1,121259;-7,498592;-0,2431619
1,13507;-7,4941;-0,2633866
1,148988;-7,490117;-0,2838804
1,16296;-7,486598;-0,3045395
1,17688;-7,483579;-0,3252011
1,190678;-7,481056;-0,3457441
1,204697;-7,478925;-0,3666642
1,218498;-7,477266;-0,3872978
1,232443;-7,476001;-0,4081784
1,246578;-7,475156;-0,4293627
1,260259;-7,474737;-0,4498805
1,274253;-7,474688;-0,4708722
1,288153;-7,47498;-0,491719
1,301954;-7,475589;-0,5124123
1,315953;-7,476511;-0,5333902
1,329992;-7,477717;-0,5544139
1,343726;-7,47917;-0,5749639
1,35774;-7,480872;-0,5959166
1,372181;-7,482831;-0,617489
1,386458;-7,485003;-0,6387941
1,400978;-7,487407;-0,6604412
1,415069;-7,489924;-0,6814269
1,430015;-7,492784;-0,7036631
1,444382;-7,495731;-0,7250104
1,458581;-7,498762;-0,746093
1,473272;-7,502015;-0,7678881
1,487496;-7,505211;-0,7889835
1,501512;-7,508524;-0,8097447
1,515279;-7,511844;-0,8301261
1,529808;-7,515282;-0,8516474
1,543827;-7,518547;-0,87242
1,557496;-7,521773;-0,8926688
1,571948;-7,525048;-0,9140974
1,585765;-7,527995;-0,934612
1,599769;-7,530635;-0,9554516
1,613461;-7,533056;-0,9758471
1,627857;-7,535322;-0,997321
1,641855;-7,537261;-1,018229
1,655603;-7,538555;-1,03881
1,669849;-7,539539;-1,060156
1,683891;-7,540362;-1,081204
1,69738;-7,541039;-1,101426
1,711643;-7,541509;-1,122814
1,725736;-7,541795;-1,143953
1,739925;-7,542023;-1,165235
1,753234;-7,542112;-1,185198
1,767403;-7,542181;-1,206452
1,781447;-7,54218;-1,227517
1,795133;-7,54215;-1,248046
