time;xpos;zpos
0;-7,605836;0,02177799
0;-7,601702;0,04356181
0,02;-7,596082;0,0730306
0,03496807;-7,591893;0,09508848
0,04073177;-7,590277;0,1035818
0,05512812;-7,586228;0,1247934
0,06971052;-7,582124;0,1462784
0,08423958;-7,578022;0,1676826
0,09916969;-7,573804;0,1896768
0,1139461;-7,569629;0,2114448
0,127987;-7,565666;0,2321298
0,1421312;-7,561685;0,2529693
0,1565989;-7,557631;0,2742887
0,1709515;-7,553616;0,2954398
0,1848571;-7,549706;0,3159287
0,1993476;-7,545647;0,3372818
0,2135566;-7,541695;0,3582258
0,2274344;-7,537852;0,3786848
0,2412201;-7,53406;0,3990126
0,2555742;-7,530135;0,420183
0,2697357;-7,526088;0,4410362
0,2834523;-7,520833;0,4609287
0,2978383;-7,514146;0,4814455
0,311631;-7,507289;0,5009653
0,3255176;-7,600909;0,5180174
0,3397945;-7,598238;0,523141
0,3537261;-7,598238;0,523141
0,367846;-7,598238;0,523141
0,3816046;-7,598238;0,523141
0,3957858;-7,598238;0,523141
0,4100757;-7,598238;0,523141
0,4235695;-7,598238;0,523141
0,4380343;-7,598238;0,523141
0,4521278;-7,598238;0,523141
0,4659506;-7,598238;0,523141
0,4793712;-7,598238;0,523141
0,4933143;-7,598238;0,523141
0,5073778;-7,598238;0,523141
0,5211597;-7,598238;0,523141
0,5355314;-7,598238;0,523141
0,5495576;-7,598238;0,523141
0,5628915;-7,598238;0,523141
0,5773657;-7,598238;0,523141
0,5911162;-7,598238;0,523141
0,6046107;-7,598238;0,523141
0,6188915;-7,598238;0,523141
0,6328194;-7,598238;0,523141
0,6468931;-7,598238;0,523141
0,6601636;-7,598238;0,523141
0,6744294;-7,598238;0,523141
0,6885241;-7,598238;0,523141
0,7021544;-7,598238;0,523141
0,7163534;-7,598238;0,523141
0,7302576;-7,598238;0,523141
0,7439461;-7,598238;0,523141
0,7580558;-7,598238;0,523141
0,7721551;-7,598238;0,523141
0,786014;-7,598238;0,523141
0,7994649;-7,598238;0,523141
0,8138701;-7,598238;0,523141
0,8278897;-7,596447;0,5250031
0,8413992;-7,591866;0,5291193
0,8557749;-7,581834;0,5366018
0,9114029;-7,515713;0,5874994
0,9138854;-7,512774;0,5897865
0,9260168;-7,498426;0,6009783
0,9333629;-7,489726;0,6077407
0,9499384;-7,469971;0,6228381
0,9677942;-7,743583;0,5960987
0,9818031;-7,726864;0,6088281
0,9969043;-7,708763;0,6224458
1,011986;-7,690656;0,6360082
1,027597;-7,672035;0,6502055
1,042546;-7,65418;0,6637715
1,057564;-7,636238;0,6773944
1,072393;-7,618523;0,6908459
1,087036;-7,601006;0,7040952
1,101283;-7,583994;0,7170306
1,116231;-7,565967;0,7303637
1,130726;-7,548498;0,7433081
1,144389;-7,532036;0,7555149
1,158982;-7,514479;0,7685881
1,173141;-7,497471;0,781309
1,187305;-7,480439;0,7940099
1,20124;-7,66365;0,8064609
1,215724;-7,646188;0,819387
1,229738;-7,629284;0,8318843
1,243293;-7,612929;0,8439637
1,257541;-7,595717;0,8566343
1,271717;-7,578544;0,8691725
1,285515;-7,561824;0,881371
1,299717;-7,544601;0,8939097
1,313751;-7,527569;0,9062801
1,32764;-7,510707;0,9185165
1,341399;-7,493986;0,9306137
1,35567;-7,57661;0,9431164
1,369754;-7,559487;0,9554913
1,383317;-7,542996;0,967405
1,397698;-7,52548;0,9799948
1,41143;-7,508749;0,9920083
1,425318;-7,491797;1,004118
1,439489;-7,574383;1,016308
1,453623;-7,556904;1,028306
1,467356;-7,539804;1,039792
1,481187;-7,522569;1,05134
1,495465;-7,504773;1,063256
1,50947;-7,48717;1,07472
1,523031;-7,570054;1,085711
1,537495;-7,551795;1,09743
1,55165;-7,53398;1,108983
1,565253;-7,51684;1,120055
1,579314;-7,499104;1,13147
1,593281;-7,581489;1,14281
1,607229;-7,56389;1,154124
1,620848;-7,546698;1,165159
1,635313;-7,528431;1,176868
1,649336;-7,510702;1,18819
1,662484;-7,494065;1,198778
1,676883;-7,575818;1,210337
1,691029;-7,557877;1,221667
1,704387;-7,540932;1,232359
1,71895;-7,522446;1,243998
1,732788;-7,504854;1,255015
1,746776;-7,487062;1,266135
1,76009;-7,570116;1,276704
1,774344;-7,551972;1,288015
1,788232;-7,534258;1,298979
1,801754;-7,516993;1,309622
1,816099;-7,498667;1,320901
1,830002;-7,480984;1,331956
1,843529;-7,563828;1,342789
1,857862;-7,545435;1,353922
1,871714;-7,527576;1,364542
1,885546;-7,509776;1,375202
1,899692;-7,591433;1,38587
1,91391;-7,572975;1,396553
1,927526;-7,555098;1,406428
1,941054;-7,537234;1,416056
1,95566;-7,517621;1,425816
1,969662;-7,498519;1,43455
1,9832;-7,579805;1,442436
1,997411;-7,559907;1,450083
2,011245;-7,540299;1,456873
2,024978;-7,62059;1,462864
2,039256;-7,599867;1,468277
2,053005;-7,579741;1,472775
2,066723;-7,559505;1,476504
2,080399;-7,639206;1,479465
2,094532;-7,618132;1,481779
2,108473;-7,597275;1,483278
2,122006;-7,676989;1,484017
2,136296;-7,655553;1,48404
2,150299;-7,63456;1,483356
2,163669;-7,614546;1,48207
2,178085;-7,693021;1,480013
2,19205;-7,672205;1,477664
2,20587;-7,651562;1,475765
2,219282;-7,731585;1,473383
2,233941;-7,709811;1,47032
2,24772;-7,6894;1,467065
2,260909;-7,769776;1,46456
2,275307;-7,74836;1,461772
2,289336;-7,727501;1,458988
2,302744;-7,80759;1,456157
2,316965;-7,786488;1,453033
2,330893;-7,76589;1,44954
2,344502;-7,745842;1,445694
2,358593;-7,825177;1,441258
2,372675;-7,804632;1,436347
2,38677;-7,784193;1,430941
2,400017;-7,865112;1,42539
2,414279;-7,844718;1,418928
2,428061;-7,825172;1,412197
2,441712;-7,805968;1,405094
2,455837;-7,886269;1,397294
2,469909;-7,866815;1,3891
2,48338;-7,848355;1,380884
2,497461;-7,829222;1,371938
2,511326;-7,810522;1,362834
2,525004;-7,892201;1,353599
2,539349;-7,873085;1,343723
2,553277;-7,854581;1,334019
2,567194;-7,836004;1,324498
2,580845;-7,917429;1,315882
2,594831;-7,898403;1,307042
2,608776;-7,878713;1,299984
2,622367;-7,858594;1,296694
2,636564;-7,937333;1,295465
2,650591;-7,916293;1,29528
2,664068;-7,896303;1,298288
2,678262;-7,875376;1,302206
2,692095;-7,955261;1,307296
2,706278;-7,934694;1,312739
2,719676;-7,915329;1,318113
2,733805;-7,894919;1,323821
2,747952;-7,874477;1,329517
2,76123;-7,955292;1,334865
2,775635;-7,934457;1,340594
2,789474;-7,91446;1,346163
2,8031;-7,894766;1,351634
2,817297;-7,97424;1,357306
2,831308;-7,953973;1,362866
2,844862;-7,934355;1,368202
2,858656;-7,914377;1,373589
2,872624;-7,894138;1,379008
2,886652;-7,873782;1,384333
2,900169;-7,954156;1,389431
2,91462;-7,933147;1,39477
2,92828;-7,913231;1,39958
2,941989;-7,893206;1,404254
2,956205;-7,972397;1,408913
2,97027;-7,951786;1,413417
2,983873;-7,931814;1,417596
2,998164;-7,91082;1,421936
3,011957;-7,890551;1,426082
3,025962;-7,869972;1,430306
3,03967;-7,949835;1,434458
3,053892;-7,928942;1,438774
3,067866;-7,908412;1,443002
3,081622;-7,988204;1,447176
3,095725;-7,96749;1,451465
3,109665;-7,947012;1,4557
3,123262;-7,927036;1,459815
3,137541;-7,906063;1,464156
3,151533;-7,885514;1,468428
3,165365;-7,965204;1,47267
3,179517;-7,944432;1,477044
3,193444;-7,923988;1,481346
3,207447;-7,903438;1,485687
3,221138;-7,983347;1,489946
3,235443;-7,962356;1,494395
3,249491;-7,941739;1,498752
3,262885;-7,92209;1,502936
3,277251;-7,901018;1,507447
3,291219;-7,880528;1,511828
3,305042;-7,960254;1,516169
3,31927;-7,93939;1,520661
3,333191;-7,918976;1,525053
3,347128;-7,898539;1,52946
3,360738;-7,97859;1,533789
3,375073;-7,95757;1,538323
3,388977;-7,937193;1,542766
3,402568;-7,917277;1,547124
3,41689;-7,896298;1,551751
3,430791;-7,875935;1,556234
3,444405;-7,955998;1,560653
3,458708;-7,935051;1,565299
3,472763;-7,914473;1,569875
3,48674;-7,894008;1,574428
3,500356;-7,97407;1,578864
3,514918;-7,952746;1,583598
3,52851;-7,93284;1,588005
3,541998;-7,913095;1,592414
3,556338;-7,992093;1,597059
3,570328;-7,971598;1,601571
3,583788;-7,95188;1,605906
3,598105;-7,930897;1,610482
3,61203;-7,910488;1,614927
3,625938;-7,890105;1,619372
3,639486;-7,970246;1,623684
3,65388;-7,949149;1,62827
3,667764;-7,92879;1,632661
3,681366;-8,008848;1,636972
3,695586;-7,988006;1,641507
3,709574;-7,967503;1,645966
3,723341;-7,947333;1,650395
3,737432;-7,926695;1,654958
3,751593;-7,905969;1,659609
3,765261;-7,985962;1,664088
3,779312;-7,965405;1,668736
3,793259;-7,945004;1,673369
3,807032;-7,924866;1,67798
3,820542;-8,005124;1,682554
3,835019;-7,983984;1,687521
3,849102;-7,963439;1,692431
3,862252;-7,944265;1,697066
3,876617;-7,923337;1,702194
3,890517;-7,903107;1,707244
3,904286;-8,050507;1,638442
3,918695;-8,029571;1,643815
3,932714;-8,009224;1,649123
3,946576;-7,989117;1,654422
3,960002;-7,969657;1,65961
3,974153;-7,949165;1,665147
3,988044;-7,929067;1,670639
4,001723;-7,909286;1,676095
4,016153;-7,888428;1,681882
4,030112;-7,868265;1,687522
4,043698;-7,948652;1,693057
4,05791;-7,928146;1,698884
4,071837;-7,908056;1,704617
4,085752;-7,887992;1,710368
4,099383;-7,868341;1,716016
4,113688;-7,847713;1,721922
4,127532;-7,827746;1,727627
4,141112;-8,008147;1,73318
4,155555;-7,987295;1,739056
4,169374;-7,96733;1,744629
4,182989;-7,947647;1,750075
4,197004;-7,927374;1,755642
4,211192;-7,906837;1,761219
4,224719;-7,887248;1,76651
4,238883;-7,866735;1,772039
4,252944;-7,846375;1,777548
4,266983;-7,826051;1,783065
4,28048;-7,806514;1,788377
4,294635;-7,786035;1,793974
4,308634;-7,765785;1,799534
4,322114;-7,746299;1,804932
4,336487;-7,725525;1,810703
4,35049;-7,705309;1,816398
4,364028;-7,685771;1,821935
4,378213;-7,665313;1,827784
4,392153;-7,845039;1,839612
4,406259;-7,824718;1,845511
4,419703;-7,805364;1,851173
4,434105;-7,784636;1,857261
4,448081;-7,764529;1,863191
4,461613;-7,745061;1,868938
4,475841;-7,724589;1,874966
4,489913;-7,704332;1,880901
4,503604;-7,684612;1,88663
4,517826;-7,66411;1,892527
4,531651;-7,644157;1,898184
4,54542;-7,624263;1,903729
4,559471;-7,603938;1,909302
4,573473;-7,583653;1,914754
4,587431;-7,563406;1,920082
4,601185;-7,543431;1,925239
4,615428;-7,522715;1,930467
4,629138;-7,502751;1,935403
4,642893;-7,482693;1,940236
4,657126;-7,561915;1,945143
4,671139;-7,541433;1,949861
4,684723;-7,521551;1,954326
4,699026;-7,500592;1,958908
4,712859;-7,480301;1,963246
4,726869;-7,459731;1,967545
4,740572;-7,439587;1,971636
4,754739;-7,41874;1,97575
4,768652;-7,398244;1,979682
4,782425;-7,47793;1,98345
4,796555;-7,457075;1,987228
4,810471;-7,436515;1,990838
4,824087;-7,416388;1,994308
4,838284;-7,395396;1,997893
4,852328;-7,37463;2,001435
4,86641;-7,353807;2,00498
4,87998;-7,433739;2,008386
4,894234;-7,412647;2,01189
4,907978;-7,392289;2,015143
4,921817;-7,371771;2,018295
4,935935;-7,350822;2,021398
4,949978;-7,329975;2,024407
4,963518;-7,409863;2,027247
4,977712;-7,388769;2,030125
4,991665;-7,368019;2,032861
5,005357;-7,447649;2,035482
5,019685;-7,426323;2,038162
5,033649;-7,405532;2,040702
5,047479;-7,384933;2,043157
5,060919;-7,464905;2,045451
5,075208;-7,443596;2,04777
5,089056;-7,422936;2,049918
5,102776;-7,502453;2,051905
5,117325;-7,480716;2,053854
5,131005;-7,460267;2,055559
5,144583;-7,539952;2,057021
5,158877;-7,518558;2,058419
5,172673;-7,597898;2,059611
5,186786;-7,576756;2,060699
5,200176;-7,55669;2,06158
5,214577;-7,635102;2,06234
5,228374;-7,614415;2,062913
5,241947;-7,594058;2,063297
5,256072;-7,672872;2,063548
5,270133;-7,651781;2,063643
5,28369;-7,631445;2,063626
5,29792;-7,6101;2,063507
5,3118;-7,589281;2,063278
5,325931;-7,568089;2,062909
5,339282;-7,548069;2,062408
5,35381;-7,526289;2,061674
5,367575;-7,505659;2,060803
5,381298;-7,485104;2,05972
5,395285;-7,464168;2,058338
5,409243;-7,443302;2,05663
5,422847;-7,422995;2,054606
5,437193;-7,401628;2,05206
5,451193;-7,380836;2,049108
5,464682;-7,360873;2,04581
5,478797;-7,340079;2,041825
5,492809;-7,319561;2,037267
5,506849;-7,299169;2,032004
5,520489;-7,279575;2,026115
5,534609;-7,259556;2,0192
5,548726;-7,239831;2,011501
5,562096;-7,221433;2,003517
5,576362;-7,202142;1,994255
5,590311;-7,183614;1,984534
5,603798;-7,166032;1,974525
5,618185;-7,147598;1,963304
5,632134;-7,129998;1,951989
5,646094;-7,112607;1,940325
5,659557;-7,096087;1,928711
5,673748;-7,078953;1,916079
5,687756;-7,062311;1,903253
5,701432;-7,046171;1,890591
5,71568;-7,029458;1,877271
5,729518;-7,02757;1,875522
5,743216;-7,02757;1,875522
5,757358;-7,02757;1,875522
5,771437;-7,02757;1,875522
5,785043;-7,02757;1,875522
5,799172;-7,02757;1,875522
5,813087;-7,02757;1,875522
5,827024;-7,02757;1,875522
5,840599;-7,02757;1,875522
5,854825;-7,02757;1,875522
5,868755;-7,02757;1,875522
5,882468;-6,92757;1,875522
5,896817;-6,92757;1,875522
5,910632;-6,92757;1,875522
5,92422;-6,92757;1,875522
5,938344;-6,92757;1,875522
5,952358;-6,92757;1,875522
5,966498;-6,92757;1,875522
5,979946;-6,92757;1,875522
5,994045;-6,92757;1,875522
6,007999;-6,92757;1,875522
6,021653;-6,92757;1,875522
6,035834;-6,92757;1,875522
6,049811;-6,92757;1,875522
6,063223;-6,92757;1,875522
6,077497;-6,82757;1,875522
6,091527;-6,82757;1,875522
6,105087;-6,82757;1,875522
6,119232;-6,82757;1,875522
6,133293;-6,82757;1,875522
6,147127;-6,82757;1,875522
6,160601;-6,82757;1,875522
6,174799;-6,82757;1,875522
6,188786;-6,82757;1,875522
